State,Division,2023-07,2023-06,2023-05,2023-04,2023-03,2023-02,2023-01,2022-12,2022-11,2022-10,2022-09,2022-08,2022-07,2022-06,2022-05,2022-04,2022-03,2022-02,2022-01,2021-12,2021-11,2021-10,2021-09,2021-08,2021-07,2021-06,2021-05,2021-04,2021-03,2021-02,2021-01,2020-12,2020-11,2020-10,2020-09,2020-08,2020-07,2020-06,2020-05,2020-04,2020-03,2020-02,2020-01,2019-12,2019-11,2019-10,2019-09,2019-08,2019-07,2019-06,2019-05,2019-04,2019-03,2019-02,2019-01,2018-12,2018-11,2018-10,2018-09,2018-08,2018-07,2018-06,2018-05,2018-04,2018-03,2018-02,2018-01,2017-12,2017-11,2017-10,2017-09,2017-08,2017-07,2017-06,2017-05,2017-04,2017-03,2017-02,2017-01,2016-12,2016-11,2016-10,2016-09,2016-08,2016-07,2016-06,2016-05,2016-04,2016-03,2016-02,2016-01,2015-12,2015-11,2015-10,2015-09,2015-08,2015-07,2015-06,2015-05,2015-04,2015-03,2015-02,2015-01,2014-12,2014-11,2014-10,2014-09,2014-08,2014-07,2014-06,2014-05,2014-04,2014-03,2014-02,2014-01,2013-12,2013-11,2013-10,2013-09,2013-08,2013-07,2013-06,2013-05,2013-04,2013-03,2013-02,2013-01,2012-12,2012-11,2012-10,2012-09,2012-08,2012-07,2012-06,2012-05,2012-04,2012-03,2012-02,2012-01,2011-12,2011-11,2011-10,2011-09,2011-08,2011-07,2011-06,2011-05,2011-04,2011-03,2011-02,2011-01,2010-12,2010-11,2010-10,2010-09,2010-08,2010-07,2010-06,2010-05,2010-04,2010-03,2010-02,2010-01
Connecticut,New_England,302,427,548,289,542,493,682,525,492,410,384,396,743,394,342,406,351,347,454,495,445,336,380,299,294,363,329,690,564,276,241,395,446,500,820,566,501,382,661,401,643,442,278,444,561,4913,3763,3278,2894,2477,2166,1812,1101,580,278,4570,4071,3724,3269,2990,2661,2168,1745,1359,1078,809,342,4606,4325,3944,3377,2953,2469,1847,1523,1121,875,487,317,5341,5128,4859,4346,3715,3355,3067,2573,2204,1156,571,154,5883,5315,4707,4031,3517,3218,2533,1982,1192,790,398,264,5297,4989,4729,4310,3766,3337,3049,1749,1297,969,726,533,5762,5507,5185,4638,4222,3319,2867,2361,1885,1530,852,263,5240,4674,4320,3725,3283,2652,2244,1470,1098,857,613,154,3113,2861,2585,2411,1947,1686,1403,974,731,499,239,133,3765,3500,3212,2912,2520,2281,1985,1694,987,624,350,165
Maine,New_England,503,613,699,596,476,266,255,333,369,399,488,564,551,593,639,655,414,871,437,622,448,499,485,653,764,803,745,651,499,275,458,375,408,607,686,515,566,607,396,481,378,254,234,189,277,4335,3838,3477,2977,2537,2110,1677,1357,726,357,4526,4281,3926,3440,2950,2530,2140,1612,1095,753,462,193,4607,4336,3827,3439,3005,2528,2130,1594,1269,765,444,208,4164,3891,3540,3185,2822,2429,1975,1488,1043,577,302,178,3688,3410,3148,2783,2334,1948,1625,1142,777,501,246,186,3281,3076,2827,2505,2181,1844,1517,1130,765,467,324,178,3212,2993,2716,2410,2109,1837,1565,1178,776,494,267,139,2788,2641,2370,2160,1830,1559,1289,988,696,436,283,141,2299,2187,1967,1738,1518,1294,1000,768,529,332,194,126,2962,2795,2586,2361,2058,1797,1518,1173,783,503,324,107
Massachusetts,New_England,1201,1355,1481,819,1475,1165,1088,1510,1293,1056,1611,1083,1650,2200,1482,1960,1795,2127,1173,2673,1047,1021,1828,1173,1341,1445,1840,2179,1488,1062,1246,1762,1677,1135,1404,979,1515,1760,1347,548,1105,850,1806,1410,1415,12971,11834,10949,9742,8499,6653,3660,2662,1611,819,15255,13774,12769,11208,10149,9393,8458,6950,4680,3503,2219,1369,17230,15059,14195,12698,11211,10070,8158,6459,4614,3735,1712,784,15407,14423,13336,11525,9520,7973,6728,5328,3933,2634,1626,749,17059,15191,13620,12195,10522,9258,8277,6607,4394,3554,2184,1733,14237,12831,11313,10228,9122,7915,6721,5463,3701,2687,1959,1076,14538,12946,12082,11096,9937,8991,7173,5139,4137,2586,1451,762,10440,9254,8190,7430,6748,5633,4963,4276,3202,2145,1514,429,7260,6387,5592,4757,4234,3693,3402,2450,1525,1084,640,368,8648,8003,7159,6585,5875,5159,4264,2907,2366,1664,998,463
New_Hampshire,New_England,306,525,472,397,258,222,269,292,319,311,397,498,378,418,369,373,358,296,231,249,288,282,342,425,426,468,571,419,456,260,216,342,448,319,394,346,343,391,242,231,290,277,231,202,304,3275,3033,2813,1988,1680,1331,1055,780,487,338,3780,3600,3308,2861,2559,2242,1917,1448,1071,846,645,332,3395,3254,2943,2554,2199,1852,1464,1240,933,616,407,172,3607,3174,2839,2456,2127,1752,1565,1200,838,510,279,166,3606,3309,3101,2648,2318,1792,1484,1134,827,456,257,134,3954,3775,3617,3260,2980,2533,1929,898,661,405,235,109,2662,2558,2387,2131,1901,1657,1346,945,664,461,290,153,2536,2360,2155,1928,1760,1373,1099,850,599,382,216,124,2236,2105,1988,1814,1507,1314,1136,969,718,574,398,103,2737,2526,2338,2141,1955,1727,1542,1175,942,722,561,202
Rhode_Island,New_England,82,140,131,88,101,87,79,85,66,84,136,123,92,100,128,121,84,88,98,137,131,114,87,141,104,182,120,152,131,96,103,119,117,115,136,122,89,151,98,74,97,89,91,113,91,998,897,760,677,547,427,321,219,136,67,1224,1151,1066,960,877,675,581,488,342,255,144,59,1156,1084,898,804,761,612,523,409,297,236,144,84,1192,1074,969,875,689,567,505,421,287,220,118,58,990,900,816,737,629,474,393,279,198,130,56,45,992,915,849,736,657,557,459,384,296,168,78,49,915,841,768,682,622,536,462,350,272,190,122,58,776,706,632,568,496,403,329,250,188,132,70,49,692,645,562,506,454,384,312,246,186,129,54,30,949,846,776,664,539,451,404,300,238,170,101,56
Vermont,New_England,198,229,210,165,328,84,71,108,119,117,207,174,261,232,184,194,172,119,105,239,135,198,172,171,141,188,200,262,197,97,92,123,166,128,172,128,220,234,138,119,213,102,83,58,73,1307,1182,1031,859,725,617,512,347,199,73,1833,1735,1587,1259,1084,924,744,578,409,243,116,57,1727,1712,1600,1476,1183,1041,865,658,478,355,116,66,1832,1756,1632,1463,1285,1013,908,651,400,258,111,70,1883,1744,1580,1453,1266,1065,899,715,556,399,222,91,1281,1250,1089,984,895,731,631,473,358,242,98,54,1455,1318,1227,1089,924,856,728,529,340,251,170,32,1258,1213,1165,969,802,731,657,524,371,252,81,36,1199,1062,990,913,781,703,572,487,354,186,138,30,1530,1436,1331,1221,1056,910,797,697,573,461,411,51
New_Jersey,Middle_Atlantic,2625,2515,3757,2194,3498,1862,2482,3354,2792,1741,2536,2389,3537,3636,2239,3346,4179,2838,2932,4530,3278,3013,2483,3039,2740,2935,3108,3535,2916,2159,3309,3112,3198,3367,3286,2268,2920,3329,1821,1227,2762,1757,2407,2690,3175,30910,25909,22356,17697,14779,11435,8069,6137,3325,1778,27639,24786,22305,19877,17458,15180,13404,10590,7629,5992,3695,1510,28893,26194,23638,20131,17285,14801,12520,10484,7213,5637,3869,2104,26751,23768,21599,19985,18052,15546,13681,11191,8885,6448,4042,1262,31050,28114,26016,22861,20956,18221,16617,12798,9118,5352,2845,1740,28119,25451,23738,21778,19496,17209,13832,10741,8117,5836,2947,1387,24270,22166,20051,17478,15842,13234,10747,8912,6215,4125,2551,1752,17988,16249,14660,13038,11364,10007,8129,6117,4864,3354,2005,950,13005,11837,10439,9481,8430,7220,6482,4855,3673,2696,1619,922,13318,11978,11144,10098,8589,7367,6098,4803,3856,2679,1567,745
New_York,Middle_Atlantic,1912,2346,2586,2011,3888,1855,1258,2411,2140,2304,2684,4255,3702,5419,3325,3674,5928,2969,3085,3459,4462,3122,2653,4764,3007,4505,3573,3008,2759,2956,3951,3941,3682,3375,3996,3050,3775,3832,2500,1077,1949,2180,4991,4560,5323,34008,30100,27308,23299,19589,15932,13380,9565,6957,4036,37397,34006,30495,27440,25708,23081,18880,15667,10702,8296,4505,2382,40772,36836,34227,31067,26771,23117,19850,16650,13804,9624,6334,4548,34387,30905,27524,24960,20566,17028,13815,9413,6769,4531,2744,1079,76587,67400,64494,61383,58577,55189,51494,31256,15887,8588,3922,2353,35448,32626,29767,27281,23348,20589,16931,14150,11054,7745,3271,1222,32938,28883,26306,23693,21144,16851,14059,9895,7645,5090,3535,2188,23574,21878,20316,18046,15827,13541,11143,8974,6746,4353,2780,1478,21701,20212,18379,16441,14765,12615,11033,7769,5216,3674,2463,1454,20205,17411,16127,14762,13298,11830,10189,6672,5150,3462,1953,848
Pennsylvania,Middle_Atlantic,1817,2392,2418,1939,2045,1303,1304,1955,2241,1897,1830,1935,2104,2185,2187,2107,2592,1786,1794,13036,2230,1916,1952,2617,2570,2654,2657,2733,3951,3591,3833,2333,2367,1931,2262,1958,2797,2200,1968,710,1751,1955,2208,2214,1340,19415,17473,16065,13765,11540,8771,6812,4900,3017,1353,24576,22835,21202,18384,16540,14658,12115,10098,7310,5241,3319,1256,22509,20680,19033,17187,15166,13652,11884,9607,7054,5294,2723,1353,20761,19427,17340,15351,13105,11416,10000,7672,6089,4342,2856,1306,22497,20710,18829,16782,14233,12516,10440,7973,6456,3512,2299,946,22453,20723,19011,16699,14397,12771,10624,8327,6526,4143,2351,1482,22116,20559,18850,16902,15090,13407,10777,8737,6625,4553,2456,1277,19663,17588,16076,14504,12779,11299,9258,6944,5409,3646,2168,1394,15725,14677,13773,12524,10877,9445,8136,6797,5004,3808,2674,1417,21339,18544,17183,15316,13002,11176,9721,7736,5960,4342,2745,1409
Illinois,East_North_Central,1165,1481,1418,1576,1850,784,978,1673,1534,1814,2255,1720,1418,1437,1702,2270,2090,917,1314,1080,1460,2655,1642,1793,2224,1981,1460,1967,1625,1011,983,1284,1336,1660,1729,1212,1973,1480,1234,1382,1850,1247,1142,2025,1817,16960,15191,13879,12409,10280,9038,6952,3589,2503,1296,21776,20601,18234,16200,13761,11992,10459,8810,5829,3906,1682,733,25313,23124,21251,19082,17063,14917,12400,8566,7071,4250,2532,751,22508,21255,19971,16571,14359,12501,10147,8720,6565,5296,2932,1824,19472,18327,15869,14342,12937,10933,9449,7237,5600,3554,2060,530,19857,17819,16969,15021,13598,12026,9825,7647,5732,3315,1538,660,15348,14296,13664,11826,9343,8139,6798,5533,4013,2586,1271,568,13675,12914,11417,9972,8246,6764,5644,4558,3410,2456,959,411,12151,10997,9723,8165,7142,5702,4897,3779,2592,1811,922,833,11596,10460,9720,8428,7442,6442,5705,4582,3224,2151,1117,381
