State,Division,Date,Value
Connecticut,New_England,2023-07,302.0
Maine,New_England,2023-07,503.0
Massachusetts,New_England,2023-07,1201.0
New_Hampshire,New_England,2023-07,306.0
Rhode_Island,New_England,2023-07,82.0
Vermont,New_England,2023-07,198.0
New_Jersey,Middle_Atlantic,2023-07,2625.0
New_York,Middle_Atlantic,2023-07,1912.0
Pennsylvania,Middle_Atlantic,2023-07,1817.0
Illinois,East_North_Central,2023-07,1165.0
Indiana,East_North_Central,2023-07,2049.0
Michigan,East_North_Central,2023-07,1883.0
Ohio,East_North_Central,2023-07,2112.0
Wisconsin,East_North_Central,2023-07,1743.0
Iowa,West_North_Central,2023-07,817.0
Kansas,West_North_Central,2023-07,630.0
Minnesota,West_North_Central,2023-07,2145.0
Missouri,West_North_Central,2023-07,1486.0
Nebraska,West_North_Central,2023-07,641.0
North_Dakota,West_North_Central,2023-07,306.0
South_Dakota,West_North_Central,2023-07,445.0
Delaware,South_Atlantic,2023-07,536.0
District_of_Columbia,South_Atlantic,2023-07,299.0
Florida,South_Atlantic,2023-07,15574.0
Georgia,South_Atlantic,2023-07,5423.0
Maryland,South_Atlantic,2023-07,1339.0
North_Carolina,South_Atlantic,2023-07,7218.0
South_Carolina,South_Atlantic,2023-07,3424.0
Virginia,South_Atlantic,2023-07,2561.0
West_Virginia,South_Atlantic,2023-07,340.0
Alabama,East_South_Central,2023-07,1491.0
Kentucky,East_South_Central,2023-07,966.0
Mississippi,East_South_Central,2023-07,588.0
Tennessee,East_South_Central,2023-07,3798.0
Arkansas,West_South_Central,2023-07,1335.0
Louisiana,West_South_Central,2023-07,1270.0
Oklahoma,West_South_Central,2023-07,1471.0
Texas,West_South_Central,2023-07,18897.0
Arizona,Mountain,2023-07,5367.0
Colorado,Mountain,2023-07,2737.0
Idaho,Mountain,2023-07,1599.0
Montana,Mountain,2023-07,520.0
Nevada,Mountain,2023-07,1766.0
New_Mexico,Mountain,2023-07,682.0
Utah,Mountain,2023-07,2254.0
Wyoming,Mountain,2023-07,124.0
Alaska,Pacific,2023-07,111.0
California,Pacific,2023-07,8190.0
Hawaii,Pacific,2023-07,306.0
Oregon,Pacific,2023-07,1525.0
Washington,Pacific,2023-07,2663.0
Connecticut,New_England,2023-06,427.0
Maine,New_England,2023-06,613.0
Massachusetts,New_England,2023-06,1355.0
New_Hampshire,New_England,2023-06,525.0
Rhode_Island,New_England,2023-06,140.0
Vermont,New_England,2023-06,229.0
New_Jersey,Middle_Atlantic,2023-06,2515.0
New_York,Middle_Atlantic,2023-06,2346.0
Pennsylvania,Middle_Atlantic,2023-06,2392.0
Illinois,East_North_Central,2023-06,1481.0
Indiana,East_North_Central,2023-06,2772.0
Michigan,East_North_Central,2023-06,1906.0
Ohio,East_North_Central,2023-06,3052.0
Wisconsin,East_North_Central,2023-06,2064.0
Iowa,West_North_Central,2023-06,1115.0
Kansas,West_North_Central,2023-06,750.0
Minnesota,West_North_Central,2023-06,2484.0
Missouri,West_North_Central,2023-06,1642.0
Nebraska,West_North_Central,2023-06,849.0
North_Dakota,West_North_Central,2023-06,204.0
South_Dakota,West_North_Central,2023-06,623.0
Delaware,South_Atlantic,2023-06,632.0
District_of_Columbia,South_Atlantic,2023-06,290.0
Florida,South_Atlantic,2023-06,18825.0
Georgia,South_Atlantic,2023-06,5758.0
Maryland,South_Atlantic,2023-06,1210.0
North_Carolina,South_Atlantic,2023-06,7820.0
South_Carolina,South_Atlantic,2023-06,3778.0
Virginia,South_Atlantic,2023-06,3252.0
West_Virginia,South_Atlantic,2023-06,320.0
Alabama,East_South_Central,2023-06,1853.0
Kentucky,East_South_Central,2023-06,1157.0
Mississippi,East_South_Central,2023-06,658.0
Tennessee,East_South_Central,2023-06,3788.0
Arkansas,West_South_Central,2023-06,1313.0
Louisiana,West_South_Central,2023-06,1270.0
Oklahoma,West_South_Central,2023-06,970.0
Texas,West_South_Central,2023-06,20444.0
Arizona,Mountain,2023-06,3840.0
Colorado,Mountain,2023-06,3515.0
Idaho,Mountain,2023-06,1687.0
