Date,State,Division,Value,Value_Lag_1,Value_Lag_2,Value_Lag_3,Value_Lag_4,Value_Lag_5,Value_Lag_6,Value_Lag_1_Year,Value_Lag_2_Years,Value_Lag_3_Years,Value_Lag_4_Years,Value_Lag_5_Years
1995-01,Alabama,East_South_Central,1429.0,,,,,,,,,,,
1995-02,Alabama,East_South_Central,1153.0,1429.0,,,,,,,,,,
1995-03,Alabama,East_South_Central,1568.0,1153.0,1429.0,,,,,,,,,
1995-04,Alabama,East_South_Central,1827.0,1568.0,1153.0,1429.0,,,,,,,,
1995-05,Alabama,East_South_Central,1561.0,1827.0,1568.0,1153.0,1429.0,,,,,,,
1995-06,Alabama,East_South_Central,1821.0,1561.0,1827.0,1568.0,1153.0,1429.0,,,,,,
1995-07,Alabama,East_South_Central,2033.0,1821.0,1561.0,1827.0,1568.0,1153.0,1429.0,,,,,
1995-08,Alabama,East_South_Central,1894.0,2033.0,1821.0,1561.0,1827.0,1568.0,1153.0,,,,,
1995-09,Alabama,East_South_Central,1219.0,1894.0,2033.0,1821.0,1561.0,1827.0,1568.0,,,,,
1995-10,Alabama,East_South_Central,1923.0,1219.0,1894.0,2033.0,1821.0,1561.0,1827.0,,,,,
1995-11,Alabama,East_South_Central,1313.0,1923.0,1219.0,1894.0,2033.0,1821.0,1561.0,,,,,
1995-12,Alabama,East_South_Central,1856.0,1313.0,1923.0,1219.0,1894.0,2033.0,1821.0,,,,,
1996-01,Alabama,East_South_Central,1220.0,1856.0,1313.0,1923.0,1219.0,1894.0,2033.0,1429.0,,,,
1996-02,Alabama,East_South_Central,1459.0,1220.0,1856.0,1313.0,1923.0,1219.0,1894.0,1153.0,,,,
1996-03,Alabama,East_South_Central,1777.0,1459.0,1220.0,1856.0,1313.0,1923.0,1219.0,1568.0,,,,
1996-04,Alabama,East_South_Central,1668.0,1777.0,1459.0,1220.0,1856.0,1313.0,1923.0,1827.0,,,,
1996-05,Alabama,East_South_Central,1969.0,1668.0,1777.0,1459.0,1220.0,1856.0,1313.0,1561.0,,,,
1996-06,Alabama,East_South_Central,1579.0,1969.0,1668.0,1777.0,1459.0,1220.0,1856.0,1821.0,,,,
1996-07,Alabama,East_South_Central,1570.0,1579.0,1969.0,1668.0,1777.0,1459.0,1220.0,2033.0,,,,
1996-08,Alabama,East_South_Central,1680.0,1570.0,1579.0,1969.0,1668.0,1777.0,1459.0,1894.0,,,,
1996-09,Alabama,East_South_Central,1513.0,1680.0,1570.0,1579.0,1969.0,1668.0,1777.0,1219.0,,,,
1996-10,Alabama,East_South_Central,2249.0,1513.0,1680.0,1570.0,1579.0,1969.0,1668.0,1923.0,,,,
1996-11,Alabama,East_South_Central,1546.0,2249.0,1513.0,1680.0,1570.0,1579.0,1969.0,1313.0,,,,
1996-12,Alabama,East_South_Central,2226.0,1546.0,2249.0,1513.0,1680.0,1570.0,1579.0,1856.0,,,,
1997-01,Alabama,East_South_Central,1195.0,2226.0,1546.0,2249.0,1513.0,1680.0,1570.0,1220.0,1429.0,,,
1997-02,Alabama,East_South_Central,1881.0,1195.0,2226.0,1546.0,2249.0,1513.0,1680.0,1459.0,1153.0,,,
1997-03,Alabama,East_South_Central,1927.0,1881.0,1195.0,2226.0,1546.0,2249.0,1513.0,1777.0,1568.0,,,
1997-04,Alabama,East_South_Central,1942.0,1927.0,1881.0,1195.0,2226.0,1546.0,2249.0,1668.0,1827.0,,,
1997-05,Alabama,East_South_Central,1356.0,1942.0,1927.0,1881.0,1195.0,2226.0,1546.0,1969.0,1561.0,,,
1997-06,Alabama,East_South_Central,1384.0,1356.0,1942.0,1927.0,1881.0,1195.0,2226.0,1579.0,1821.0,,,
1997-07,Alabama,East_South_Central,1696.0,1384.0,1356.0,1942.0,1927.0,1881.0,1195.0,1570.0,2033.0,,,
1997-08,Alabama,East_South_Central,1480.0,1696.0,1384.0,1356.0,1942.0,1927.0,1881.0,1680.0,1894.0,,,
1997-09,Alabama,East_South_Central,1266.0,1480.0,1696.0,1384.0,1356.0,1942.0,1927.0,1513.0,1219.0,,,
