Location,Total
United_States,172865
Northeast,16785
New_England,5156
Connecticut,1113
Maine,804
Massachusetts,1787
New_Hampshire,848
Rhode_Island,265
Vermont,339
Middle_Atlantic,11629
New_Jersey,3155
New_York,4497
Pennsylvania,3977
Midwest,35070
East_North_Central,23422
Illinois,6139
Indiana,3390
Michigan,5150
Ohio,5046
Wisconsin,3697
West_North_Central,11648
Iowa,1406
Kansas,1195
Minnesota,4241
Missouri,3227
Nebraska,807
North_Dakota,386
South_Dakota,386
South,74359
South_Atlantic,46281
Delaware,748
District_of_Columbia,147
Florida,17595
Georgia,8515
Maryland,2573
North_Carolina,7022
South_Carolina,3723
Virginia,5495
West_Virginia,463
East_South_Central,8823
Alabama,2208
Kentucky,1882
Mississippi,1102
Tennessee,3631
West_South_Central,19255
Arkansas,1354
Louisiana,1684
Oklahoma,1403
Texas,14814
West,46651
Mountain,20839
Arizona,7107
Colorado,4419
Idaho,1565
Montana,495
Nevada,3584
New_Mexico,1189
Utah,2161
Wyoming,319
Pacific,25812
Alaska,331
California,17517
Hawaii,575
Oregon,2294
Washington,5095
