Location,Total
United_States,152097
Northeast,14027
New_England,3999
Connecticut,1086
Maine,382
Massachusetts,1582
New_Hampshire,519
Rhode_Island,224
Vermont,206
Middle_Atlantic,10028
New_Jersey,2545
New_York,3789
Pennsylvania,3694
Midwest,31544
East_North_Central,21466
Illinois,4884
Indiana,3697
Michigan,4709
Ohio,5338
Wisconsin,2838
West_North_Central,10078
Iowa,1221
Kansas,1604
Minnesota,2935
Missouri,2945
Nebraska,826
North_Dakota,194
South_Dakota,353
South,69778
South_Atlantic,42842
Delaware,599
Dist._of_Columbia,190
Florida,14188
Georgia,8203
Maryland,2770
North_Carolina,7885
South_Carolina,3354
Virginia,5230
West_Virginia,423
East_South_Central,9036
Alabama,2306
Kentucky,2112
Mississippi,1154
Tennessee,3464
West_South_Central,17900
Arkansas,1144
Louisiana,1742
Oklahoma,1796
Texas,13218
West,36748
Mountain,18633
Arizona,6182
Colorado,4779
Idaho,973
Montana,226
Nevada,3264
New_Mexico,952
Utah,1938
Wyoming,319
Pacific,18115
Alaska,164
California,11483
Hawaii,309
Oregon,2375
Washington,3784
