Division,State,Jun 23,May 23,Apr 23,Mar 23,Feb 23,Jan 23,Dec 22,Nov 22,Oct 22,Sep 22,Aug 22,Jul 22
New England ,          Connecticut                   ,427,548,289,542,493,682,525,492,410,384,396,743
New England ,          Maine                         ,613,699,596,476,266,255,333,369,399,488,564,551
New England ,          Massachusetts                 ,"1,355","1,481",819,"1,475","1,165","1,088","1,510","1,293","1,056","1,611","1,083","1,650"
New England ,          New Hampshire                 ,525,472,397,258,222,269,292,319,311,397,498,378
New England ,          Rhode Island                  ,140,131,88,101,87,79,85,66,84,136,123,92
New England ,          Vermont                       ,229,210,165,328,84,71,108,119,117,207,174,261
Middle Atlantic,          New Jersey                    ,"2,515","3,757","2,194","3,498","1,862","2,482","3,354","2,792","1,741","2,536","2,389","3,537"
Middle Atlantic,          New York                      ,"2,346","2,586","2,011","3,888","1,855","1,258","2,411","2,140","2,304","2,684","4,255","3,702"
Middle Atlantic,          Pennsylvania                  ,"2,392","2,418","1,939","2,045","1,303","1,304","1,955","2,241","1,897","1,830","1,935","2,104"
East North Central ,          Illinois                      ,"1,481","1,418","1,576","1,850",784,978,"1,673","1,534","1,814","2,255","1,720","1,418"
East North Central ,          Indiana                       ,"2,772","2,522","2,401","2,087","1,466","1,529","1,552","1,857","2,355","3,006","2,207","2,108"
East North Central ,          Michigan                      ,"1,906","1,614","1,688","1,738","1,008","1,187","1,238","1,026","1,597","1,714","2,446","1,629"
East North Central ,          Ohio                          ,"3,052","2,327","1,845","3,347","1,605","1,150","1,483","3,122","4,159","2,535","2,767","2,515"
East North Central ,          Wisconsin                     ,"2,064","2,007","1,327","1,474","1,101",908,"1,024","1,846","1,760","2,239","1,922","1,811"
West North Central,          Iowa                          ,"1,115","1,327",924,"1,048",638,355,711,954,"1,209","1,174","1,263",842
West North Central,          Kansas                        ,750,"1,132",561,548,349,492,420,460,777,858,704,840
West North Central,          Minnesota                     ,"2,484","2,847","2,088","1,840","1,302","1,366","1,556","1,870","2,752","2,759","2,725","2,495"
